aX,aY,aZ,gX,gY,gZ,sN
9.589,0.332,1.751,-0.157,0.372,0.070,3
9.840,-2.033,1.592,-0.011,0.183,-0.079,4
8.531,5.399,0.734,0.159,0.164,-0.015,1
8.830,1.494,5.088,-0.100,0.360,-0.035,2
9.493,0.249,1.964,-0.156,0.287,0.055,3
9.850,-2.008,1.609,-0.025,0.108,-0.057,4
8.545,5.365,0.575,0.179,0.108,-0.003,1
8.832,1.358,4.884,-0.096,0.317,-0.027,2
9.567,0.080,1.748,-0.133,0.263,0.044,3
9.877,-2.145,1.575,-0.006,0.136,-0.086,4
8.533,5.260,0.575,0.187,0.157,-0.029,1
8.734,1.366,5.104,-0.071,0.347,-0.057,2
9.452,0.255,1.864,-0.096,0.296,0.017,3
9.791,-1.920,1.358,0.014,0.171,-0.095,4
8.490,5.387,0.658,0.172,0.148,-0.029,1
8.699,1.411,5.121,-0.089,0.332,-0.052,2
9.436,0.102,2.042,-0.147,0.272,0.027,3
9.851,-2.073,1.697,-0.033,0.174,-0.087,4
