aX,aY,aZ,gX,gY,gZ,sN
4,-8.934,12.567,-11.507,2.672,2.361,2.579
1,-11.412,16.741,-3.369,2.796,1.807,1.726
2,-7.493,19.613,-7.551,0.859,0.219,1.919
3,-8.200,19.613,-10.473,0.112,-0.397,1.169
4,-6.758,16.611,-12.898,-0.150,-0.687,0.404
1,-11.738,19.613,-5.103,-0.567,-0.938,0.256
2,-3.751,18.779,-6.100,-1.813,-0.953,-0.769
3,-5.092,17.225,-6.949,-1.770,-1.411,-1.814
4,-4.337,12.659,-7.879,-2.410,-2.052,-1.534
1,-5.801,13.447,-4.237,-3.157,-1.393,1.106
2,-1.524,10.830,-2.563,-3.412,-0.903,-2.135
3,-2.444,7.384,-3.116,-2.826,-1.280,-3.085
4,-2.412,3.790,-0.251,-3.034,-1.959,-2.336
1,-2.893,2.512,-0.771,-3.540,-1.272,0.468
2,-2.285,1.081,-0.047,-2.463,-0.596,-2.549
3,-3.000,-1.991,-0.845,-1.302,-0.685,-2.616
4,-4.401,-2.192,4.368,-1.120,-1.119,-1.714
1,0.357,-2.939,1.684,-1.257,-0.753,-0.325
2,-2.291,-2.367,1.879,-0.190,-0.171,-0.891
3,-3.099,-4.642,0.407,0.551,0.192,-0.086
4,-4.413,-3.473,5.489,1.032,0.653,0.284
1,0.942,-3.524,1.221,2.078,0.706,-0.871
2,-1.650,-1.470,0.867,2.437,1.042,1.477
3,-2.336,-1.047,-1.909,2.245,1.749,2.669
4,-4.477,1.525,-0.800,2.783,2.743,2.054
1,-5.576,7.058,-2.822,4.429,2.141,-1.124
2,-5.260,12.864,-5.024,2.954,1.652,2.913
3,-9.270,15.447,-9.378,1.700,1.345,3.381
4,-9.966,14.025,-12.458,1.779,1.462,2.281
1,-15.597,19.613,-2.758,2.064,0.945,0.531
2,-7.945,19.613,-7.509,0.093,-0.081,1.048
3,-8.410,19.613,-9.646,-0.143,-0.844,-0.000
4,-6.790,16.726,-11.912,-0.636,-1.429,-0.541
1,-10.854,19.613,-5.365,-2.130,-0.860,0.729
2,-3.159,18.295,-5.701,-2.181,-0.729,-1.888
3,-4.113,15.422,-6.937,-1.675,-1.321,-2.688
4,-4.215,10.545,-6.032,-2.661,-2.546,-2.284
1,-4.316,9.929,-7.038,-4.824,0.531,0.599
2,-1.416,6.292,-2.163,-2.736,1.777,-2.735
3,-1.949,2.750,-1.623,-1.977,-1.006,-3.388
4,-2.690,0.679,3.044,-2.350,-2.187,-2.610
1,-0.435,-1.586,0.597,-3.627,0.979,-0.812
2,-2.005,-1.638,2.266,-1.058,1.670,-2.403
3,-2.146,-4.213,1.372,-0.252,0.627,-1.796
4,-2.659,-3.615,6.893,-0.225,-0.612,-1.153
1,2.210,-3.956,3.466,-0.273,1.585,-0.845
2,-2.952,-3.021,4.281,0.814,1.928,0.221
3,-3.073,-4.976,2.014,1.224,1.815,1.140
4,-3.535,-3.249,5.672,1.712,1.941,0.756
1,-1.184,-0.449,1.693,3.120,2.352,-0.364
2,-4.041,3.038,-1.120,2.140,2.138,2.837
3,-6.224,3.885,-5.543,1.770,2.411,3.234
4,-9.410,5.177,-5.355,2.525,2.804,2.275
1,-10.949,12.123,-2.931,3.778,2.280,0.978
2,-6.776,15.168,-8.218,0.920,1.223,3.263
3,-9.799,15.706,-11.381,0.666,0.614,2.716
4,-10.173,14.125,-11.609,0.954,0.445,1.711
1,-13.052,19.175,-4.100,0.907,-0.018,1.053
2,-4.148,19.046,-7.330,-0.878,-0.586,0.244
3,-6.732,18.483,-9.239,-1.031,-1.124,-0.619
4,-6.896,14.909,-9.777,-1.541,-1.641,-0.576
1,-7.752,16.615,-3.845,-2.388,-1.545,0.605
2,-2.160,13.706,-3.636,-2.589,-1.242,-2.358
3,-3.493,10.592,-4.520,-2.672,-1.647,-3.033
4,-2.555,6.801,-1.915,-3.105,-2.282,-2.044
1,-2.137,5.866,-1.900,-3.670,-1.978,-0.145
2,-0.875,3.259,-0.147,-2.338,-0.973,-3.286
3,-1.712,-0.395,-0.377,-1.939,-0.870,-3.085
4,-2.553,-1.791,5.279,-1.834,-1.203,-1.912
1,0.869,-2.974,1.170,-1.704,-0.892,-0.775
2,-2.302,-0.001,-0.001,-0.000,-0.000,-0.069
3,-2.743,-5.580,1.287,0.143,0.366,-0.458
4,-3.395,-4.642,7.484,0.800,0.840,-0.029
1,1.440,-4.283,2.267,1.982,0.896,-0.603
2,-2.775,-2.733,2.387,1.901,1.173,1.803
3,-2.778,-4.130,0.023,1.787,2.083,2.592
4,-3.710,-2.079,2.658,2.755,3.271,1.770
1,-4.059,2.994,-1.925,5.099,1.897,-0.337
2,-3.747,8.438,-5.355,2.779,1.481,3.742
3,-7.478,11.168,-9.935,1.903,2.154,3.816
4,-11.098,11.253,-11.855,2.774,2.673,2.455
1,-15.039,18.800,-4.112,3.374,1.317,0.827
2,-6.761,19.613,-9.178,0.625,0.183,2.176
3,-9.155,19.613,-11.491,0.219,-0.166,1.250
4,-8.602,16.276,-12.760,0.135,-0.497,0.387
1,-11.618,19.613,-4.997,-0.693,-0.922,0.455
2,-3.110,18.583,-6.011,-1.391,-0.925,-1.350
3,-5.849,16.673,-7.381,-1.446,-1.296,-2.095
4,-5.831,11.924,-7.551,-2.320,-2.024,-1.568
1,-5.483,12.216,-3.606,-3.201,-1.575,0.517
2,-1.900,9.841,-2.535,-2.761,-1.004,-2.680
3,-3.399,6.099,-3.322,-2.463,-1.448,-3.097
4,-3.381,3.432,0.181,-2.885,-2.094,-1.907
1,-2.308,2.668,-0.652,-3.072,-1.528,0.112
2,-2.276,1.306,0.014,-1.862,-0.786,-2.451
3,-2.944,-2.016,-0.620,-1.162,-0.827,-2.214
4,-3.674,-2.184,5.005,-1.114,-1.027,-1.274
